HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Ajaccio,Dijon,17.0,4.0,6.0,1.0,8.0,4.0,18.0,19.0,5.0,3.0,0.0,0.0,0.0,0.0,H
Amiens,Caen,6.0,4.0,3.0,1.0,0.0,2.0,19.0,22.0,2.0,4.0,0.0,0.0,0.0,0.0,D
Grenoble,Dunkerque,13.0,2.0,9.0,0.0,4.0,0.0,27.0,11.0,3.0,2.0,0.0,1.0,0.0,0.0,H
Guingamp,Bastia,18.0,7.0,3.0,3.0,10.0,2.0,11.0,15.0,1.0,3.0,0.0,0.0,0.0,1.0,A
Le Havre,Valenciennes,11.0,5.0,2.0,3.0,9.0,4.0,9.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,D
Niort,Nancy,13.0,8.0,5.0,5.0,8.0,5.0,14.0,13.0,1.0,2.0,0.0,0.0,0.0,1.0,A
Paris FC,Rodez,8.0,7.0,2.0,2.0,0.0,6.0,13.0,13.0,1.0,2.0,0.0,1.0,1.0,0.0,H
Quevilly Rouen,Toulouse,5.0,18.0,0.0,8.0,1.0,11.0,10.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,D
Toulouse,Sochaux,12.0,13.0,6.0,7.0,8.0,4.0,14.0,8.0,1.0,3.0,0.0,0.0,1.0,1.0,H
Bastia,Niort,8.0,10.0,4.0,5.0,3.0,3.0,10.0,13.0,3.0,3.0,0.0,0.0,2.0,0.0,H
Caen,Paris FC,9.0,11.0,2.0,4.0,6.0,2.0,15.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,A
Dunkerque,Ajaccio,9.0,7.0,3.0,1.0,3.0,0.0,16.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,A
Le Havre,Amiens,9.0,11.0,3.0,4.0,2.0,2.0,16.0,11.0,0.0,3.0,0.0,0.0,1.0,0.0,D
Nancy,Rodez,17.0,14.0,10.0,9.0,5.0,3.0,12.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,A
Nimes,Quevilly Rouen,11.0,34.0,6.0,18.0,4.0,9.0,16.0,19.0,4.0,1.0,0.0,0.0,1.0,1.0,H
Pau FC,Guingamp,14.0,21.0,7.0,9.0,4.0,5.0,17.0,13.0,3.0,2.0,0.0,0.0,1.0,0.0,H
Valenciennes,Grenoble,13.0,6.0,5.0,4.0,6.0,1.0,13.0,16.0,2.0,1.0,0.0,1.0,1.0,0.0,H
Dijon,Auxerre,20.0,10.0,7.0,7.0,5.0,6.0,12.0,11.0,1.0,3.0,0.0,0.0,2.0,0.0,H
Ajaccio,Valenciennes,12.0,1.0,3.0,0.0,5.0,0.0,13.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,D
Amiens,Dunkerque,17.0,5.0,9.0,3.0,11.0,4.0,14.0,12.0,2.0,2.0,0.0,0.0,1.0,0.0,H
