HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Dresden,Sandhausen,17,11,5,3,10,5,7,19,1,2,0,0,0,0,A
Hannover,Erzgebirge Aue,11,18,5,3,5,7,15,9,4,2,0,0,1,1,D
Werder Bremen,St Pauli,13,15,2,3,7,2,16,12,4,2,0,0,0,0,D
Hamburg,Holstein Kiel,15,13,3,6,5,8,14,9,3,4,0,0,1,0,D
Hansa Rostock,Fortuna Dusseldorf,11,7,7,3,4,2,10,18,1,1,0,0,1,0,H
Ingolstadt,Regensburg,12,7,3,5,2,6,12,19,1,1,0,0,0,1,A
Karlsruhe,Paderborn,19,11,8,8,5,3,14,10,5,0,0,0,0,4,A
Holstein Kiel,Dresden,19,17,7,4,5,7,6,11,1,3,0,0,0,1,H
Nurnberg,Werder Bremen,8,18,2,8,2,9,12,11,5,3,0,0,1,0,A
Fortuna Dusseldorf,Hannover,16,11,4,5,8,5,14,11,1,1,0,0,1,0,D
Paderborn,Ingolstadt,20,14,7,4,9,3,11,11,0,1,0,0,0,0,H
Regensburg,Hansa Rostock,15,11,6,4,5,4,16,16,1,6,0,0,1,1,A
Karlsruhe,Hamburg,22,14,7,3,9,3,14,14,3,1,0,0,1,1,D
Erzgebirge Aue,Heidenheim,12,12,5,5,3,7,8,17,1,3,0,0,2,0,H
Schalke 04,Darmstadt,19,17,8,6,9,4,7,21,2,2,0,0,1,2,A
Hannover,Paderborn,17,15,5,3,8,3,9,16,2,2,1,0,0,0,D
Sandhausen,Nurnberg,10,15,6,8,6,10,15,6,3,1,0,0,0,0,A
Darmstadt,St Pauli,12,12,8,4,5,3,24,10,3,1,0,0,4,0,H
Hamburg,Regensburg,15,16,7,6,8,8,13,15,1,2,0,0,2,1,H
Hansa Rostock,Erzgebirge Aue,17,8,6,2,6,3,12,26,5,2,0,0,1,1,A
Werder Bremen,Schalke 04,15,15,4,3,4,8,8,20,1,4,0,0,0,0,D
Dresden,Fortuna Dusseldorf,7,10,3,2,4,5,12,13,3,2,0,0,1,0,H
Heidenheim,Holstein Kiel,14,17,5,4,5,3,7,8,1,2,0,0,1,1,H
Ingolstadt,Karlsruhe,18,18,2,3,7,5,12,10,0,1,0,0,1,1,D
St Pauli,Sandhausen,20,5,9,2,8,2,10,11,1,3,0,0,2,0,H
Fortuna Dusseldorf,Heidenheim,15,17,4,5,11,5,9,13,3,0,0,0,0,0,A
Regensburg,Dresden,16,14,6,5,4,5,10,17,2,3,0,0,1,0,H
Erzgebirge Aue,Darmstadt,9,17,5,7,1,7,10,11,0,1,0,0,0,0,A
Karlsruhe,Hannover,14,13,9,2,5,5,5,11,1,2,0,0,3,0,H
