HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Leverkusen,Hertha,15,13,7,8,4,5,3,12,0,1,0,0,2,1,H
Nurnberg,Freiburg,16,7,3,3,12,3,16,16,2,3,0,0,0,1,A
RB Leipzig,Werder Bremen,11,15,5,6,4,4,15,9,2,0,0,0,2,0,H
Stuttgart,Schalke 04,17,15,5,6,2,5,9,17,3,5,0,0,0,1,A
Augsburg,Wolfsburg,10,16,4,5,3,4,12,11,2,3,0,0,0,2,A
Hoffenheim,Mainz,28,12,7,5,9,2,11,10,1,0,0,0,1,1,D
Hoffenheim,Bayern Munich,13,21,5,9,2,6,13,9,3,2,0,0,0,2,A
Augsburg,Fortuna Dusseldorf,13,11,6,3,5,3,13,9,3,1,0,0,0,1,A
Ein Frankfurt,Freiburg,9,21,4,7,5,5,13,8,2,1,0,0,3,0,H
Hannover,Werder Bremen,10,23,1,13,7,8,17,19,3,1,0,0,0,1,A
Leverkusen,M'gladbach,22,7,10,3,10,3,9,14,1,2,0,0,0,1,A
RB Leipzig,Dortmund,12,8,5,4,6,7,12,9,3,2,0,0,0,1,A
Stuttgart,Mainz,28,14,8,4,13,8,9,16,2,2,0,0,0,2,A
Nurnberg,Hertha,14,16,3,8,4,4,13,9,2,1,0,0,1,1,A
Schalke 04,Wolfsburg,20,12,5,5,4,6,11,5,1,0,0,0,1,1,H
Hertha,Schalke 04,11,14,4,7,3,6,15,10,2,1,0,0,2,2,D
Dortmund,Hannover,18,11,9,3,6,3,7,10,1,1,0,0,1,0,H
Freiburg,Hoffenheim,20,16,8,11,6,1,17,14,0,2,0,0,1,1,A
Mainz,Nurnberg,20,8,4,3,5,5,12,16,3,1,0,0,1,1,H
M'gladbach,Augsburg,14,4,6,1,4,0,9,15,2,4,0,0,0,0,H
Werder Bremen,Ein Frankfurt,18,8,9,4,8,3,11,10,4,2,0,0,1,1,D
Wolfsburg,Leverkusen,10,23,4,14,5,6,10,14,5,3,0,0,0,1,A
Bayern Munich,Stuttgart,19,7,6,2,8,1,9,9,1,1,0,0,1,1,H
Fortuna Dusseldorf,RB Leipzig,10,12,0,9,8,2,11,11,1,0,0,0,0,3,A
Hannover,RB Leipzig,5,19,1,8,0,7,14,17,2,2,0,0,0,1,A
Ein Frankfurt,Dortmund,12,13,7,4,6,4,15,6,2,2,0,0,1,1,D
Hertha,Wolfsburg,11,8,4,4,3,7,19,12,3,1,0,0,0,0,A
Hoffenheim,Fortuna Dusseldorf,12,8,4,6,5,5,22,12,3,4,0,0,1,0,D
Leverkusen,Bayern Munich,11,17,4,6,7,4,13,13,3,2,0,0,0,1,H
Nurnberg,Werder Bremen,11,10,2,3,3,7,17,17,4,1,0,0,0,0,D
Schalke 04,M'gladbach,9,16,1,9,1,6,9,8,1,2,1,0,0,0,A
Augsburg,Mainz,19,6,8,0,7,3,18,10,0,1,0,0,2,0,H
Stuttgart,Freiburg,17,16,4,4,7,8,8,9,5,0,1,0,0,1,D
Mainz,Leverkusen,15,18,2,7,4,4,13,5,3,1,0,0,1,4,A
Bayern Munich,Schalke 04,17,7,4,5,7,2,8,9,1,2,0,0,2,1,H
Dortmund,Hoffenheim,16,14,7,6,7,8,7,14,0,3,0,0,2,0,D
Freiburg,Wolfsburg,10,15,4,4,9,2,15,10,3,2,0,0,1,1,D
Hannover,Nurnberg,18,9,8,1,4,4,16,16,2,2,0,1,1,0,H
M'gladbach,Hertha,13,11,4,4,5,5,7,11,0,2,0,0,0,1,A
RB Leipzig,Ein Frankfurt,14,6,1,2,7,4,9,10,4,2,0,0,0,0,D
Fortuna Dusseldorf,Stuttgart,15,15,6,2,5,4,18,8,3,4,0,1,1,0,H
Werder Bremen,Augsburg,11,13,5,3,3,2,5,12,0,1,0,0,3,0,H
Augsburg,Bayern Munich,8,17,2,8,1,9,13,12,1,2,0,0,2,2,A
Hertha,Werder Bremen,11,8,2,2,4,3,16,11,3,3,0,0,1,0,D
Hoffenheim,Hannover,26,5,11,1,10,6,15,6,0,1,0,0,2,0,H
Schalke 04,Freiburg,15,12,2,3,4,9,10,13,0,4,1,1,0,0,D
Stuttgart,RB Leipzig,7,7,3,4,5,4,18,11,1,1,0,0,1,1,A
Wolfsburg,Mainz,16,12,6,4,4,7,6,11,1,1,0,0,1,0,H
Ein Frankfurt,M'gladbach,12,14,3,5,8,7,12,8,3,1,0,0,1,0,D
Leverkusen,Fortuna Dusseldorf,13,3,7,0,5,4,6,11,1,3,0,0,1,0,H
Nurnberg,Dortmund,7,17,2,6,3,11,8,9,1,1,0,0,0,0,D
Werder Bremen,Stuttgart,15,8,4,3,4,2,7,9,1,3,0,0,1,1,D
Bayern Munich,Hertha,12,9,4,2,11,3,12,6,2,0,0,1,0,0,H
Fortuna Dusseldorf,Nurnberg,19,5,7,2,7,3,14,7,3,4,0,1,0,1,H
Freiburg,Augsburg,19,14,11,4,8,1,13,16,0,3,0,1,3,0,H
Mainz,Schalke 04,21,10,6,3,1,3,10,15,4,2,0,0,1,0,H
M'gladbach,Wolfsburg,15,5,5,3,12,1,14,11,2,1,0,0,0,1,A
Dortmund,Leverkusen,9,13,4,4,3,8,10,9,1,2,0,0,2,1,H
Hannover,Ein Frankfurt,11,14,3,8,3,5,11,12,1,1,0,0,0,0,A
RB Leipzig,Hoffenheim,15,7,4,4,6,4,16,21,0,1,0,0,0,1,D
Augsburg,Dortmund,9,18,4,8,1,4,15,11,1,2,0,0,1,0,H
Ein Frankfurt,Hoffenheim,18,20,10,7,4,3,8,16,0,3,0,1,1,1,H
Hertha,Mainz,11,13,4,1,4,1,13,10,0,2,0,0,0,0,H
Leverkusen,Freiburg,17,8,5,3,7,2,11,7,0,0,0,0,1,0,H
M'gladbach,Bayern Munich,11,19,2,14,1,9,6,11,2,2,0,0,1,2,A
Nurnberg,RB Leipzig,7,12,1,5,5,8,8,17,2,3,0,0,0,1,A
Schalke 04,Fortuna Dusseldorf,7,13,2,5,1,1,16,16,4,2,0,0,0,1,A
Stuttgart,Hannover,14,3,8,1,7,0,15,16,2,2,0,0,3,0,H
Wolfsburg,Werder Bremen,13,12,5,3,6,4,8,22,0,2,0,0,0,0,D
Werder Bremen,Schalke 04,20,14,7,8,4,5,17,10,2,1,0,0,1,1,H
Bayern Munich,Wolfsburg,22,4,12,1,7,2,9,6,0,1,0,0,2,0,H
Dortmund,Stuttgart,18,7,8,1,7,1,6,10,3,3,0,0,0,0,H
Freiburg,Hertha,10,16,4,6,3,6,10,14,1,3,0,0,1,0,H
Mainz,M'gladbach,15,11,2,4,2,6,12,4,2,0,0,0,0,0,A
RB Leipzig,Augsburg,17,5,4,3,7,4,13,9,1,1,0,0,0,0,D
Hannover,Leverkusen,11,15,5,5,6,6,14,15,3,1,0,0,0,2,A
Hoffenheim,Nurnberg,18,11,6,5,8,3,10,7,3,2,0,0,1,0,H
Fortuna Dusseldorf,Ein Frankfurt,7,15,3,6,1,5,9,14,1,2,0,0,0,0,A
M'gladbach,Freiburg,13,10,2,2,10,6,10,13,0,3,0,0,1,1,D
Augsburg,Hannover,22,13,10,4,2,3,11,10,1,4,0,0,0,1,H
Hertha,Dortmund,7,25,4,8,4,10,10,5,3,3,2,0,2,1,A
Schalke 04,RB Leipzig,14,15,3,4,0,6,12,16,1,1,0,0,0,1,A
Stuttgart,Hoffenheim,13,21,2,8,4,9,10,15,4,2,0,0,0,1,D
Wolfsburg,Fortuna Dusseldorf,19,18,10,6,7,5,15,9,1,1,0,0,1,1,H
Bayern Munich,Mainz,22,7,11,1,13,2,7,5,1,0,0,0,3,0,H
Ein Frankfurt,Nurnberg,24,9,4,3,8,3,4,13,0,2,0,0,1,0,H
Leverkusen,Werder Bremen,15,10,2,5,10,3,8,11,3,2,0,0,0,2,A
Hoffenheim,Leverkusen,13,18,5,6,4,7,8,6,2,2,0,0,1,1,H
Dortmund,Wolfsburg,11,7,5,3,5,4,11,13,0,3,0,0,0,0,H
Fortuna Dusseldorf,M'gladbach,8,13,4,6,1,2,14,13,2,3,0,0,3,0,H
Freiburg,Bayern Munich,12,26,5,8,1,7,8,9,3,1,0,0,1,1,D
Nurnberg,Augsburg,12,14,4,3,4,4,8,12,1,3,0,0,0,0,H
RB Leipzig,Hertha,21,6,9,0,6,3,7,6,1,1,0,0,2,0,H
Werder Bremen,Mainz,8,12,4,5,7,8,11,9,0,1,0,0,2,0,H
Ein Frankfurt,Stuttgart,11,10,5,3,5,5,13,10,2,1,0,0,1,0,H
Hannover,Schalke 04,15,6,3,3,8,2,16,17,1,1,0,0,0,1,A
Mainz,Freiburg,9,17,5,5,2,7,17,7,3,1,0,0,3,0,H
Bayern Munich,Dortmund,22,5,10,1,11,1,9,12,1,2,0,0,4,0,H
Hertha,Fortuna Dusseldorf,13,13,3,7,2,6,18,11,2,1,0,0,1,1,A
Leverkusen,RB Leipzig,11,8,4,4,6,2,10,12,2,1,0,0,2,1,A
Schalke 04,Ein Frankfurt,6,16,4,5,3,6,16,8,5,1,1,0,1,1,A
Stuttgart,Nurnberg,14,19,4,6,12,5,8,11,1,3,0,0,0,1,D
Wolfsburg,Hannover,13,11,5,4,9,2,9,11,1,2,0,0,1,1,H
Augsburg,Hoffenheim,8,18,0,9,4,3,9,10,1,1,0,0,0,1,A
M'gladbach,Werder Bremen,15,12,3,6,7,1,7,6,2,2,0,0,0,0,D
Nurnberg,Schalke 04,17,16,6,2,11,9,12,13,1,2,0,0,0,0,D
Dortmund,Mainz,11,17,7,9,4,4,10,6,0,1,0,0,2,0,H
Hannover,M'gladbach,12,18,5,9,3,12,10,8,0,0,0,0,0,0,A
RB Leipzig,Wolfsburg,21,6,10,2,9,3,19,12,1,1,0,0,2,0,H
Stuttgart,Leverkusen,13,18,5,5,7,6,13,11,1,0,1,0,0,0,A
Werder Bremen,Freiburg,17,9,7,5,7,3,18,7,1,3,0,0,0,0,H
Ein Frankfurt,Augsburg,17,18,4,6,8,2,17,9,3,1,1,0,1,2,A
Fortuna Dusseldorf,Bayern Munich,7,21,2,10,2,6,11,8,1,0,0,0,0,2,A
