HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Barcelona,Granada,18,5,6,1,7,0,11,17,0,4,0,1,0,0,H
Osasuna,Levante,15,6,3,2,5,5,18,11,3,3,0,0,0,0,H
Espanol,Ath Bilbao,9,11,3,3,2,3,14,14,3,1,0,0,0,1,D
Valencia,Barcelona,8,14,6,5,2,0,13,16,1,3,0,0,0,0,H
Alaves,Villarreal,12,11,6,6,7,4,10,12,2,1,0,0,0,1,A
Sevilla,Granada,12,8,4,1,3,6,13,18,4,1,0,0,2,0,H
Ath Madrid,Leganes,14,10,3,4,7,6,10,19,2,6,0,1,0,0,D
Celta,Eibar,18,5,5,3,6,3,9,16,1,0,0,0,0,0,D
Getafe,Betis,7,8,3,1,8,4,19,12,2,4,0,1,0,0,H
Sociedad,Mallorca,14,8,5,4,7,3,15,7,0,2,0,0,0,0,H
Valladolid,Real Madrid,4,12,0,3,3,5,7,11,1,3,0,0,0,0,A
Granada,Espanol,8,22,2,4,3,9,15,17,3,3,0,0,1,1,H
Real Madrid,Ath Madrid,16,4,5,1,5,6,18,11,2,3,0,0,0,0,H
Mallorca,Valladolid,16,15,4,7,8,5,11,10,4,1,0,0,0,0,A
Valencia,Celta,9,11,5,4,4,7,14,20,6,3,0,0,0,0,H
Leganes,Sociedad,12,2,5,1,3,1,24,19,4,3,0,0,0,1,H
Eibar,Betis,8,14,3,6,2,7,15,16,2,2,0,0,1,1,D
Ath Bilbao,Getafe,8,9,2,3,5,4,11,19,2,5,0,0,0,1,A
Sevilla,Alaves,14,4,3,3,6,1,13,12,2,1,0,0,0,0,D
Villarreal,Osasuna,9,17,4,5,4,6,19,15,3,2,0,0,1,0,H
Barcelona,Levante,23,10,9,5,8,3,6,10,2,0,0,0,2,0,H
Alaves,Eibar,9,5,5,1,3,5,16,10,3,2,0,0,0,0,H
Levante,Leganes,9,12,5,4,2,2,18,15,2,3,0,0,2,0,H
Getafe,Valencia,22,5,10,0,10,0,12,6,4,4,0,1,0,0,H
Valladolid,Villarreal,8,8,1,3,2,4,14,22,3,3,0,0,1,0,D
Ath Madrid,Granada,6,10,3,2,2,3,16,19,4,6,0,0,1,0,H
Espanol,Mallorca,12,7,7,3,1,7,26,15,6,2,0,0,0,0,H
Sociedad,Ath Bilbao,14,6,4,3,4,4,7,15,2,2,0,1,0,0,H
Osasuna,Real Madrid,14,17,4,7,4,3,11,15,2,2,0,0,1,2,A
Celta,Sevilla,13,12,7,4,3,4,16,14,3,2,0,0,0,1,H
Betis,Barcelona,7,10,3,6,0,8,21,17,5,5,1,1,2,2,A
Valencia,Ath Madrid,9,8,3,3,11,4,12,16,3,3,0,0,1,2,D
Mallorca,Alaves,14,10,6,0,8,5,16,15,0,2,0,0,0,0,H
Barcelona,Getafe,12,7,5,2,2,3,12,30,3,2,0,0,2,0,H
Villarreal,Levante,14,11,6,2,5,10,15,15,3,1,0,0,1,0,H
Granada,Valladolid,11,6,5,4,10,5,19,13,3,2,0,0,0,0,H
Sevilla,Espanol,18,5,6,3,9,2,17,9,3,4,0,1,1,1,D
Leganes,Betis,11,3,1,2,4,2,15,20,5,3,0,1,0,0,D
Ath Bilbao,Osasuna,12,6,2,2,4,0,14,20,4,4,0,0,0,1,A
Real Madrid,Celta,15,5,4,3,9,3,10,10,2,2,0,0,0,1,D
Betis,Mallorca,19,11,6,4,7,1,13,12,2,1,0,0,2,2,D
Celta,Leganes,3,11,1,2,2,9,13,17,3,3,1,0,0,0,H
Barcelona,Eibar,13,12,11,5,5,5,8,19,0,2,0,0,3,0,H
Sociedad,Valencia,19,6,7,1,6,7,19,9,1,1,0,0,2,0,H
Levante,Real Madrid,8,19,2,7,3,7,16,10,1,2,0,0,0,0,H
Osasuna,Granada,14,10,1,4,6,3,19,11,3,1,0,0,0,3,A
Alaves,Ath Bilbao,4,13,4,5,2,9,17,12,4,4,0,0,1,1,H
Valladolid,Espanol,21,6,6,2,4,2,10,18,1,5,0,1,0,0,H
Getafe,Sevilla,10,8,2,5,5,3,14,17,7,3,0,0,0,1,A
Ath Madrid,Villarreal,16,10,9,4,6,1,14,6,1,2,0,0,1,1,H
Sociedad,Valladolid,13,6,4,1,8,4,15,11,1,1,0,0,0,0,H
Eibar,Levante,13,11,9,4,3,6,15,16,3,2,0,0,1,0,H
Valencia,Betis,10,14,5,5,6,7,13,9,2,3,0,0,0,0,H
Leganes,Alaves,19,8,6,4,6,4,18,18,3,3,0,0,0,0,D
Granada,Celta,14,6,0,2,6,1,14,11,3,5,0,0,0,0,D
Sevilla,Osasuna,12,14,5,4,7,1,9,14,2,2,0,1,2,0,H
Ath Bilbao,Villarreal,18,10,6,3,5,6,11,13,6,6,0,0,0,0,H
Espanol,Ath Madrid,9,5,3,2,3,4,20,18,3,4,0,0,1,0,D
Mallorca,Getafe,4,9,1,5,4,3,13,24,4,5,1,0,0,0,A
Real Madrid,Barcelona,13,9,5,4,8,2,13,10,2,2,0,0,0,0,H
Alaves,Valencia,13,6,2,2,3,3,9,10,5,3,0,0,0,1,D
Eibar,Mallorca,13,10,2,4,4,3,16,8,5,3,0,0,0,1,A
Ath Madrid,Sevilla,21,12,3,4,8,4,14,16,2,4,0,0,2,2,D
Barcelona,Sociedad,13,9,6,1,4,4,12,10,4,3,0,0,0,0,H
Getafe,Celta,19,3,6,2,9,1,18,14,6,5,1,0,0,0,D
Osasuna,Espanol,17,8,6,2,6,2,17,12,3,3,0,1,0,0,H
Valladolid,Ath Bilbao,19,10,2,5,8,1,9,13,1,2,0,0,0,2,A
Levante,Granada,11,10,3,7,6,4,21,13,3,3,0,0,1,0,D
Villarreal,Leganes,15,12,5,7,2,5,10,11,4,3,0,0,1,0,A
Betis,Real Madrid,14,13,3,4,6,2,8,11,1,1,0,0,1,1,H
Eibar,Sociedad,13,6,4,2,3,1,12,10,3,2,0,0,0,1,A
Sevilla,Betis,13,12,5,1,11,2,13,16,0,2,0,0,0,0,H
Granada,Getafe,10,6,4,2,2,3,17,16,6,4,0,0,0,1,H
Valencia,Levante,12,14,3,4,0,6,11,13,1,4,0,1,0,0,D
Espanol,Alaves,19,1,9,0,2,1,16,19,4,3,0,1,1,0,H
Celta,Villarreal,4,15,0,4,2,8,5,20,1,1,0,0,0,0,A
Leganes,Valladolid,11,6,2,2,2,1,21,20,2,4,0,0,0,1,A
Mallorca,Barcelona,13,12,3,7,9,3,16,5,1,2,0,0,0,2,A
Ath Bilbao,Ath Madrid,10,9,3,2,5,7,10,9,3,0,0,0,1,1,D
Real Madrid,Eibar,6,9,5,5,3,3,11,12,1,1,0,0,3,0,H
Sociedad,Osasuna,9,8,4,1,1,6,5,12,1,3,0,0,0,1,D
Levante,Sevilla,11,10,5,4,5,6,12,10,1,1,0,0,0,0,D
Betis,Granada,18,8,6,5,11,2,13,18,2,4,0,0,0,1,D
Getafe,Espanol,21,5,4,3,5,5,15,9,3,2,0,1,0,0,D
Villarreal,Mallorca,10,15,4,5,2,6,16,10,3,4,0,0,1,0,H
Barcelona,Leganes,10,6,5,2,3,2,16,16,5,3,0,0,1,0,H
Eibar,Ath Bilbao,12,6,6,3,8,3,10,11,3,2,0,0,1,1,D
Valladolid,Celta,6,11,1,4,5,8,18,15,3,3,0,0,0,0,D
Osasuna,Ath Madrid,13,10,3,6,3,2,12,8,3,3,0,0,0,1,A
Alaves,Sociedad,15,9,7,1,5,6,21,11,3,4,1,1,0,0,H
Real Madrid,Valencia,19,4,14,2,8,2,12,11,0,2,0,1,0,0,H
Granada,Villarreal,14,5,4,1,5,0,17,15,0,3,0,0,0,1,A
Mallorca,Leganes,7,16,3,4,3,7,15,11,3,6,0,0,1,0,D
Sevilla,Barcelona,8,10,4,4,2,9,17,8,3,2,0,0,0,0,D
Espanol,Levante,10,14,3,8,8,5,11,10,2,0,0,0,1,1,A
Ath Bilbao,Betis,12,9,3,5,11,5,16,11,4,0,0,0,1,0,H
Getafe,Eibar,9,8,2,2,2,1,18,15,3,0,0,0,1,1,D
