HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Granada,Numancia,12.0,6.0,2.0,3.0,3.0,1.0,13.0,19.0,1.0,6.0,0.0,1.0,0.0,0.0,D
Mallorca,Cordoba,12.0,12.0,7.0,3.0,6.0,4.0,7.0,18.0,2.0,4.0,0.0,0.0,0.0,0.0,H
Rayo Majadahonda,Almeria,14.0,8.0,4.0,1.0,4.0,13.0,14.0,17.0,4.0,4.0,0.0,0.0,1.0,0.0,H
Sp Gijon,Malaga,16.0,15.0,4.0,6.0,8.0,5.0,11.0,14.0,4.0,3.0,0.0,0.0,0.0,0.0,D
Tenerife,Albacete,24.0,10.0,6.0,3.0,9.0,1.0,12.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,D
Gimnastic,Zaragoza,11.0,10.0,3.0,2.0,3.0,1.0,15.0,10.0,4.0,4.0,0.0,0.0,1.0,1.0,A
Las Palmas,Granada,7.0,14.0,6.0,4.0,3.0,6.0,13.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,D
Malaga,Gimnastic,15.0,4.0,3.0,1.0,13.0,1.0,12.0,15.0,3.0,3.0,0.0,1.0,1.0,0.0,H
Osasuna,Tenerife,19.0,12.0,9.0,3.0,8.0,5.0,17.0,11.0,2.0,2.0,0.0,0.0,2.0,0.0,H
Oviedo,Sp Gijon,13.0,6.0,4.0,3.0,4.0,5.0,18.0,19.0,3.0,4.0,0.0,0.0,2.0,0.0,H
Reus Deportiu,Extremadura UD,5.0,11.0,1.0,6.0,2.0,5.0,14.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,A
Zaragoza,Mallorca,17.0,11.0,6.0,6.0,3.0,5.0,16.0,9.0,3.0,1.0,0.0,0.0,0.0,2.0,D
Albacete,Lugo,12.0,11.0,3.0,2.0,13.0,1.0,14.0,19.0,4.0,3.0,1.0,0.0,0.0,0.0,H
Alcorcon,Elche,16.0,3.0,6.0,1.0,7.0,1.0,21.0,21.0,2.0,3.0,0.0,0.0,0.0,0.0,H
Cordoba,Cadiz,14.0,10.0,4.0,5.0,4.0,6.0,11.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,A
Numancia,Rayo Majadahonda,17.0,12.0,4.0,5.0,11.0,3.0,13.0,11.0,2.0,4.0,0.0,0.0,0.0,1.0,A
Almeria,La Coruna,12.0,5.0,2.0,2.0,7.0,3.0,16.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,D
Granada,Sp Gijon,14.0,13.0,5.0,7.0,9.0,1.0,15.0,9.0,6.0,4.0,0.0,0.0,0.0,1.0,A
Cadiz,Las Palmas,10.0,11.0,4.0,5.0,5.0,2.0,12.0,14.0,1.0,2.0,0.0,0.0,2.0,0.0,H
Gimnastic,Almeria,8.0,12.0,3.0,6.0,6.0,5.0,19.0,14.0,4.0,4.0,0.0,1.0,1.0,2.0,D
La Coruna,Osasuna,9.0,10.0,5.0,3.0,6.0,3.0,21.0,15.0,3.0,3.0,0.0,0.0,1.0,0.0,H
Lugo,Cordoba,5.0,11.0,4.0,5.0,1.0,5.0,21.0,20.0,1.0,3.0,0.0,0.0,2.0,0.0,H
Alcorcon,Zaragoza,10.0,6.0,5.0,0.0,4.0,3.0,14.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0,H
Elche,Albacete,23.0,3.0,6.0,1.0,8.0,4.0,13.0,16.0,5.0,3.0,0.0,1.0,0.0,1.0,A
Extremadura UD,Malaga,11.0,10.0,3.0,4.0,2.0,2.0,17.0,16.0,2.0,4.0,0.0,0.0,1.0,0.0,H
Mallorca,Numancia,14.0,9.0,5.0,4.0,9.0,5.0,8.0,11.0,2.0,3.0,0.0,0.0,1.0,0.0,H
Oviedo,Reus Deportiu,15.0,8.0,7.0,2.0,3.0,6.0,11.0,18.0,1.0,4.0,0.0,0.0,0.0,0.0,H
Tenerife,Rayo Majadahonda,12.0,10.0,4.0,3.0,7.0,8.0,23.0,15.0,4.0,4.0,0.0,0.0,1.0,0.0,H
Zaragoza,Cadiz,11.0,10.0,5.0,4.0,5.0,6.0,15.0,14.0,4.0,2.0,0.0,0.0,0.0,1.0,A
Almeria,Extremadura UD,8.0,8.0,3.0,1.0,3.0,4.0,14.0,14.0,4.0,3.0,0.0,0.0,1.0,1.0,D
Cordoba,Elche,14.0,10.0,8.0,4.0,3.0,4.0,23.0,17.0,3.0,5.0,0.0,1.0,0.0,1.0,D
Malaga,Granada,6.0,6.0,1.0,2.0,3.0,3.0,16.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,A
Reus Deportiu,Mallorca,5.0,11.0,1.0,7.0,4.0,1.0,20.0,24.0,2.0,2.0,0.0,0.0,0.0,0.0,A
Sp Gijon,Tenerife,9.0,12.0,5.0,4.0,6.0,3.0,19.0,17.0,4.0,3.0,0.0,0.0,0.0,0.0,H
Albacete,Alcorcon,9.0,8.0,4.0,3.0,11.0,3.0,18.0,17.0,2.0,3.0,0.0,0.0,1.0,0.0,H
Las Palmas,Oviedo,5.0,10.0,1.0,0.0,3.0,8.0,15.0,19.0,1.0,5.0,0.0,1.0,0.0,0.0,D
Numancia,Gimnastic,16.0,7.0,4.0,0.0,8.0,1.0,5.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,H
