HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Ath Bilbao,Getafe,8,15,4,2,2,2,10,12,5,4,0,0,0,0,D
Espanol,Girona,18,16,10,11,8,3,16,14,3,4,0,0,0,2,A
Sevilla,Valladolid,17,13,9,5,8,6,15,15,3,3,0,0,1,0,H
Villarreal,Betis,13,13,8,6,5,4,15,13,2,1,0,0,0,0,H
Sociedad,Celta,15,6,8,2,6,2,12,14,2,2,0,0,1,0,H
Vallecano,Eibar,5,13,2,5,1,4,15,12,5,3,0,0,0,0,H
Celta,Huesca,12,8,5,3,4,4,14,14,2,3,0,0,1,0,H
Getafe,Espanol,14,8,5,2,7,4,17,16,3,2,0,0,0,0,H
Real Madrid,Valencia,13,7,3,2,2,2,11,10,1,3,0,0,1,0,H
Valladolid,Leganes,20,14,6,5,6,5,5,13,0,3,0,0,0,2,A
Alaves,Sevilla,11,14,3,3,2,5,21,14,3,3,0,0,1,0,D
Barcelona,Villarreal,16,12,7,2,11,1,9,17,2,4,0,0,1,0,H
Betis,Sociedad,6,6,4,4,6,4,18,18,4,2,0,0,1,0,H
Girona,Ath Madrid,13,17,3,3,2,9,8,16,0,5,0,0,1,0,D
Levante,Ath Bilbao,17,12,7,3,2,6,11,15,3,5,0,1,1,0,H
Leganes,Getafe,17,6,5,2,7,2,12,13,1,2,1,0,0,1,D
Ath Madrid,Alaves,12,13,5,3,5,5,20,15,5,4,0,0,1,0,H
Espanol,Barcelona,15,17,3,9,11,4,16,10,1,0,0,0,0,3,A
Valencia,Sevilla,16,11,6,3,6,4,13,17,0,4,0,0,0,0,D
Villarreal,Celta,13,14,3,7,6,1,12,10,3,3,0,0,0,1,A
Betis,Vallecano,8,12,3,3,2,9,13,20,2,3,0,0,0,0,H
Eibar,Levante,32,14,7,5,12,3,11,7,2,2,0,0,1,2,D
Huesca,Real Madrid,11,5,4,4,11,6,12,10,2,2,0,0,0,1,A
Sociedad,Valladolid,23,10,5,6,11,6,9,16,2,2,0,0,0,1,A
Ath Bilbao,Girona,25,3,10,1,11,0,17,15,3,1,0,0,0,0,H
Celta,Leganes,15,5,2,2,10,0,11,11,3,3,0,0,0,0,D
Eibar,Valencia,18,11,6,4,4,2,11,15,0,1,0,0,0,1,D
Getafe,Sociedad,9,9,2,4,2,3,24,14,3,4,0,0,1,0,H
Real Madrid,Vallecano,9,11,4,3,4,4,15,18,0,3,0,0,1,0,H
Valladolid,Ath Madrid,8,14,2,5,9,3,16,13,4,1,0,0,0,2,A
Espanol,Betis,10,12,3,5,0,4,23,10,3,4,0,0,1,1,A
Huesca,Villarreal,30,10,13,5,13,2,12,11,4,5,0,1,1,0,D
Levante,Barcelona,20,16,6,9,15,3,12,9,2,3,1,0,0,2,A
Sevilla,Girona,17,8,5,2,5,3,18,12,2,1,0,0,0,0,H
Alaves,Ath Bilbao,11,6,2,3,5,3,16,13,2,2,0,0,0,0,D
Girona,Getafe,12,5,4,2,4,1,9,13,1,2,0,0,0,0,D
Sociedad,Alaves,18,9,4,3,10,1,14,11,2,4,0,0,0,1,A
Ath Bilbao,Valladolid,8,5,3,2,3,1,25,12,3,2,0,0,1,0,D
Ath Madrid,Espanol,8,18,5,4,5,9,16,13,1,1,0,0,0,0,H
Barcelona,Celta,9,11,5,1,4,6,14,15,0,1,0,0,2,0,H
Betis,Eibar,4,15,2,4,4,11,11,13,2,4,0,0,1,0,D
Leganes,Sevilla,13,8,4,2,3,6,14,9,3,3,0,1,1,0,D
