HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Frosinone,Cagliari,25,18,11,7,5,1,13,15,1,7,0,1,1,0,D
Milan,Parma,19,7,6,1,8,8,9,15,2,2,0,0,0,0,H
Roma,Inter,15,16,6,7,4,7,11,13,1,1,0,0,0,1,D
Sassuolo,Udinese,17,3,3,1,13,2,13,16,3,2,0,0,0,0,D
Torino,Genoa,23,8,10,2,5,5,14,20,3,4,0,1,2,1,H
Atalanta,Napoli,9,9,3,5,12,6,8,7,1,2,0,0,0,1,A
Juventus,Inter,14,8,6,4,10,8,13,16,2,2,0,0,0,0,H
Cagliari,Roma,10,14,5,7,7,5,17,12,3,1,2,0,0,2,D
Lazio,Sampdoria,20,4,11,3,10,6,13,11,3,6,0,1,0,1,D
Napoli,Frosinone,18,6,10,2,9,3,6,10,1,2,0,0,2,0,H
Empoli,Bologna,9,14,5,8,4,8,6,8,2,2,0,0,1,1,H
Genoa,Spal,6,16,3,7,1,6,9,10,1,5,1,0,1,1,D
Milan,Torino,11,10,4,4,11,3,10,16,2,3,0,0,0,0,D
Parma,Chievo,12,7,7,1,8,2,17,18,4,4,0,1,0,0,D
Sassuolo,Fiorentina,11,11,7,6,6,10,12,12,4,5,1,1,0,0,D
Udinese,Atalanta,5,12,2,4,2,7,17,6,1,1,0,0,1,1,A
Inter,Udinese,15,7,4,1,10,0,11,8,3,1,0,0,0,0,H
Torino,Juventus,5,7,3,4,7,5,17,13,2,4,0,0,0,0,A
Cagliari,Napoli,6,13,2,5,2,10,15,9,2,2,0,0,0,0,A
Fiorentina,Empoli,15,8,9,4,2,3,20,18,2,1,0,0,1,1,H
Frosinone,Sassuolo,9,13,3,3,6,5,18,10,3,2,0,0,0,1,A
Roma,Genoa,14,11,7,8,6,4,10,15,2,2,0,0,2,2,H
Sampdoria,Parma,12,2,10,0,8,4,10,7,2,1,0,0,0,0,H
Spal,Chievo,10,8,3,6,6,4,14,18,2,4,0,0,0,0,D
Atalanta,Lazio,4,11,2,3,7,7,10,17,2,4,0,0,1,0,H
Bologna,Milan,7,11,6,4,2,1,12,12,2,5,0,1,0,0,D
Chievo,Inter,6,9,3,3,5,7,10,10,3,2,0,0,0,1,D
Empoli,Sampdoria,6,15,3,12,8,5,14,9,3,4,0,0,1,1,A
Genoa,Atalanta,15,10,7,6,9,6,13,13,3,2,0,2,1,0,H
Juventus,Roma,15,4,7,4,13,2,9,12,0,3,0,0,1,0,H
Lazio,Cagliari,15,9,10,5,7,5,16,9,2,1,0,0,2,0,H
Milan,Fiorentina,11,7,7,1,9,7,10,18,3,4,0,0,0,0,A
Napoli,Spal,15,10,8,6,3,5,13,8,2,2,0,0,1,0,H
Parma,Bologna,7,5,1,2,4,2,8,9,3,3,0,0,0,0,D
Sassuolo,Torino,11,4,6,3,12,2,12,15,2,3,0,0,0,0,D
Udinese,Frosinone,9,10,1,6,2,5,11,16,2,4,0,0,1,0,D
Atalanta,Juventus,10,10,6,3,5,5,17,16,4,4,0,1,1,1,D
Bologna,Lazio,6,11,3,7,1,7,15,18,2,0,0,0,0,1,A
Cagliari,Genoa,12,10,7,4,4,4,8,9,3,3,0,0,1,0,H
Fiorentina,Parma,16,3,7,2,9,2,15,15,4,4,1,0,0,1,A
Frosinone,Milan,11,16,5,8,3,6,10,12,2,1,0,0,0,0,D
Inter,Napoli,9,9,5,4,5,0,12,8,3,4,0,2,0,0,H
Roma,Sassuolo,16,8,10,3,8,5,15,16,1,1,0,0,2,0,H
Sampdoria,Chievo,10,7,6,1,4,1,22,19,2,1,0,0,0,0,H
Spal,Udinese,7,3,4,1,7,2,10,14,1,2,0,0,0,0,D
Torino,Empoli,13,5,10,1,5,1,9,9,1,3,0,1,1,0,H
Chievo,Frosinone,9,12,3,4,4,2,16,20,4,6,0,1,0,0,H
Empoli,Inter,7,7,3,6,4,6,14,4,1,1,0,0,0,0,A
Genoa,Fiorentina,7,8,3,6,7,3,21,8,2,1,0,0,0,0,D
Juventus,Sampdoria,15,7,8,3,6,3,13,16,2,2,0,0,1,1,H
Lazio,Torino,10,7,5,6,7,3,20,22,4,4,1,1,0,1,D
Milan,Spal,11,9,6,4,11,2,15,10,4,2,1,0,1,1,H
Napoli,Bologna,14,10,9,4,6,5,14,10,2,2,0,0,1,1,H
Parma,Roma,3,19,2,8,2,7,7,11,1,1,0,0,0,0,A
Sassuolo,Atalanta,13,13,8,9,1,8,10,10,1,2,0,0,0,2,A
Udinese,Cagliari,19,4,7,1,6,6,11,15,3,2,1,1,1,0,H
Inter,Sassuolo,8,11,4,6,11,0,16,16,1,3,0,0,0,0,D
Roma,Torino,11,8,9,3,6,3,17,17,2,3,0,0,2,0,H
Udinese,Parma,17,7,9,4,8,2,17,15,3,1,0,0,0,1,A
Cagliari,Empoli,13,9,3,4,4,7,11,10,0,0,0,0,1,0,D
Fiorentina,Sampdoria,8,9,4,5,4,7,15,22,6,4,1,0,1,1,D
Frosinone,Atalanta,5,14,3,8,4,8,12,11,2,0,0,0,0,2,A
Napoli,Lazio,17,13,13,9,7,8,6,12,1,5,0,1,2,0,H
Spal,Bologna,13,12,9,6,7,7,13,18,2,3,0,0,0,1,D
Genoa,Milan,13,9,7,7,5,6,14,17,3,3,0,0,0,0,A
Juventus,Chievo,19,7,11,3,12,5,10,7,1,2,0,0,2,0,H
Milan,Napoli,12,14,7,8,6,8,7,11,1,3,0,1,0,0,D
Sampdoria,Udinese,14,6,9,0,1,1,14,13,2,4,0,0,1,0,H
Sassuolo,Cagliari,11,7,9,3,4,12,14,17,1,1,0,0,2,0,H
Atalanta,Roma,14,7,6,5,9,2,7,13,0,3,0,0,1,3,D
Bologna,Frosinone,8,4,2,4,9,2,15,13,3,4,1,0,0,2,A
Chievo,Fiorentina,14,11,8,7,7,5,19,18,3,1,0,1,1,2,A
Lazio,Juventus,11,4,5,3,8,1,11,13,2,5,0,0,0,0,A
Parma,Spal,9,15,5,6,1,10,9,13,2,4,0,0,1,0,A
Torino,Inter,7,9,4,4,6,7,19,12,3,3,0,1,1,0,H
Empoli,Genoa,13,12,7,7,1,3,8,7,1,2,0,0,0,1,A
Empoli,Chievo,11,10,9,4,10,6,9,12,0,2,0,0,1,2,D
Juventus,Parma,18,11,9,5,12,4,6,11,1,2,0,0,1,0,D
Napoli,Sampdoria,18,8,14,2,5,3,4,12,0,3,0,0,2,0,H
Genoa,Sassuolo,4,11,2,8,4,6,11,15,1,3,0,0,1,1,D
Inter,Bologna,12,8,3,7,6,7,13,17,1,2,0,0,0,1,A
Roma,Milan,11,6,9,5,10,2,15,9,3,4,0,0,0,1,D
Spal,Torino,8,5,1,1,11,6,24,27,5,5,0,1,0,0,D
Udinese,Fiorentina,7,9,2,4,1,10,13,14,3,3,0,0,0,0,D
Cagliari,Atalanta,8,10,2,6,2,4,18,11,0,2,0,0,0,0,A
Frosinone,Lazio,9,11,4,5,2,2,8,14,1,5,0,0,0,1,A
Lazio,Empoli,8,3,4,1,3,2,13,8,1,1,0,0,1,0,H
Chievo,Roma,11,11,6,9,7,7,6,9,1,2,0,0,0,2,A
Fiorentina,Napoli,10,12,4,4,5,5,9,17,2,4,0,0,0,0,D
